GetData.Serial No,GetData.CQM ID,GetData.Item No,GetData.Item Description,GetData.Date
1309,CQM67156,NNNEMZZ097,CUTTER THERMAL PRINTER -- VKP80,09/05/3011
1840,CQM58A9,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),31/12/2020
860,CQM67036,,DELL PC,30/12/2020
1105,CQM67097,,DELL PC,27/12/2020
1322,CQM67164,CBXMEPC005,BLACK INK ROLLER,23/12/2020
1822,CQM5883,NNNAAEL025/R,SENSOR ASSY  (U-shape),15/11/2020
2082,CQM58A1,CSDAAEM115     ( old code : CSDAAEM126 ),WHITE CIS MODULE,11/10/2020
268,CQM581A,CSDAAME110,FEED ROLLER ASSY,19/09/2020
2126,CQM4C28,PMRU - 036,VKP80II EJECTION BLACK RUBBER ROLLER,18/09/2020
1588,CQM4C2F,NNNMESP034,PIN INOX 3x20  (Collection Bin),18/09/2020
1588,CQM4C2F,CSDMERU047,ROLLER (Collection Bin),18/09/2020
1148,CQM58DB,CSDAAME339,PREFEED ROLLER ASSY (CSD2002E),18/09/2020
1105,CQM67097,NNNMEGU021,O-RING ( collection path ),18/09/2020
1946,CQM582D,NNNMESR012,CSD2002E / GQM  MECHANICAL LOCK ( UPPER DOOR Lock ),18/09/2020
1456,CQM67188,NNNAAEM068,SOLENOID ASSY   -  Sorter / Collection Bin,18/09/2020
445,CQM4C1F,NNNMEGU021,O-RING ( collection path ),18/09/2020
268,CQM581A,NNNMECI052,TOOTHED BELT T2.5 330L8,18/09/2020
862,CQM67038,NNNMECI054,TOOTHED BELT T3/351L6,17/09/2020
2040,CQM583C,NNNMECI020,FLAT BELT (SCANNER),17/09/2020
1247,CQM67118,CBXMEPC005,BLACK INK ROLLER,17/09/2020
2268,CQM67246,CBXMEPC005,BLACK INK ROLLER,17/09/2020
1824,CQM58DC,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),16/09/2020
1846,CQM58B5,NNNMECI044,TOOTHED BELT T2.5 380H6,16/09/2020
1795,CQM5852,NNNMECI054,TOOTHED BELT T3/351L6,16/09/2020
1846,CQM58B5,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),16/09/2020
1846,CQM58B5,NNNMECI036,"FLAT BELT (Yellow, Bend)",16/09/2020
1189,CQM4C63,NNNMECI044,TOOTHED BELT T2.5 380H6,16/09/2020
1935,CQM5898,NNNMECI036,"FLAT BELT (Yellow, Bend)",16/09/2020
1511,CQM67823,NNNMECI036,"FLAT BELT (Yellow, Bend)",16/09/2020
1935,CQM5898,NNNMECI054,TOOTHED BELT T3/351L6,16/09/2020
2169,CQM5886,NNNMECI044,TOOTHED BELT T2.5 380H6,16/09/2020
2043,CQM5889,NNNMECI044,TOOTHED BELT T2.5 380H6,16/09/2020
1795,CQM5852,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),16/09/2020
1935,CQM5898,NNNMECI044,TOOTHED BELT T2.5 380H6,16/09/2020
1795,CQM5852,NNNMECI044,TOOTHED BELT T2.5 380H6,16/09/2020
1795,CQM5852,NNNMECI036,"FLAT BELT (Yellow, Bend)",16/09/2020
1935,CQM5898,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),16/09/2020
1795,CQM5852,NNNMEGU021,O-RING ( collection path ),16/09/2020
1935,CQM5898,NNNMEGU021,O-RING ( collection path ),16/09/2020
1189,CQM4C63,NNNMECI020,FLAT BELT (SCANNER),16/09/2020
2169,CQM5886,NNNMEGU021,O-RING ( collection path ),16/09/2020
1846,CQM58B5,NNNMECI054,TOOTHED BELT T3/351L6,16/09/2020
1846,CQM58B5,NNNMECI020,FLAT BELT (SCANNER),16/09/2020
1846,CQM58B5,NNNMEGU021,O-RING ( collection path ),16/09/2020
1846,CQM58B5,CBXMEPC005,BLACK INK ROLLER,16/09/2020
1846,CQM58B5,NNNMECI004,TOOTHED BELT T2.5 145L6,16/09/2020
2169,CQM5886,NNNMECI054,TOOTHED BELT T3/351L6,16/09/2020
1935,CQM5898,CBXMEPC005,BLACK INK ROLLER,16/09/2020
2043,CQM5889,NNNMEGU021,O-RING ( collection path ),16/09/2020
1795,CQM5852,CBXMEPC005,BLACK INK ROLLER,16/09/2020
2043,CQM5889,NNNMECI054,TOOTHED BELT T3/351L6,16/09/2020
2043,CQM5889,CBXMEPC005,BLACK INK ROLLER,16/09/2020
2169,CQM5886,CBXMEPC005,BLACK INK ROLLER,16/09/2020
1948,CQM5859,NNNMECI036,"FLAT BELT (Yellow, Bend)",15/09/2020
1326,CQM5826,NNNMECI036,"FLAT BELT (Yellow, Bend)",15/09/2020
1872,CQM4C01,NNNMECI036,"FLAT BELT (Yellow, Bend)",15/09/2020
371,CQM5836,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),15/09/2020
1948,CQM5859,CBXMEPC005,BLACK INK ROLLER,15/09/2020
1945,CQM581B,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),15/09/2020
1326,CQM5826,NNNMECI054,TOOTHED BELT T3/351L6,15/09/2020
1006,CQM67075,NNNMECI054,TOOTHED BELT T3/351L6,15/09/2020
1948,CQM5859,NNNMECI020,FLAT BELT (SCANNER),15/09/2020
1947,CQM5858,NNNMECI020,FLAT BELT (SCANNER),15/09/2020
1947,CQM5858,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),15/09/2020
371,CQM5836,NNNMECI052,TOOTHED BELT T2.5 330L8,15/09/2020
1121,CQM5811,NNNMEGU021,O-RING ( collection path ),15/09/2020
1867,CQM5830,TTT80,VKP80II THERMIC HEAD,15/09/2020
1948,CQM5859,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),15/09/2020
1121,CQM5811,NNNMECI036,"FLAT BELT (Yellow, Bend)",15/09/2020
1326,CQM5826,NNNMEGU021,O-RING ( collection path ),15/09/2020
1931,CQM5878,CSDAAEM073,DC GEAR BOX MOTOR ASSY,15/09/2020
1326,CQM5826,CBXMEPC005,BLACK INK ROLLER,15/09/2020
2141,CQM4C23,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),15/09/2020
371,CQM5836,NNNMECI036,"FLAT BELT (Yellow, Bend)",15/09/2020
371,CQM5836,NNNMECI044,TOOTHED BELT T2.5 380H6,15/09/2020
371,CQM5836,CBXMEPC005,BLACK INK ROLLER,15/09/2020
1948,CQM5859,NNNMEGU021,O-RING ( collection path ),15/09/2020
371,CQM5836,NNNMEGU021,O-RING ( collection path ),15/09/2020
1947,CQM5858,NNNMEGU021,O-RING ( collection path ),15/09/2020
1947,CQM5858,CBXMEPC005,BLACK INK ROLLER,15/09/2020
1121,CQM5811,CBXMEPC005,BLACK INK ROLLER,15/09/2020
1121,CQM5811,NNNMECI020,FLAT BELT (SCANNER),15/09/2020
1326,CQM5826,CSDMEPC130/B,ROLLER  RECOATION  (downside of bend),15/09/2020
1121,CQM5811,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),15/09/2020
1326,CQM5826,NNNMECI020,FLAT BELT (SCANNER),15/09/2020
1799,CQM58A2,NNNMECI054,TOOTHED BELT T3/351L6,15/09/2020
1948,CQM5859,NNNMECI054,TOOTHED BELT T3/351L6,15/09/2020
1947,CQM5858,NNNMECI036,"FLAT BELT (Yellow, Bend)",15/09/2020
1947,CQM5858,NNNMECI054,TOOTHED BELT T3/351L6,15/09/2020
1326,CQM5826,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),15/09/2020
1121,CQM5811,NNNMECI054,TOOTHED BELT T3/351L6,15/09/2020
832,CQM589E,NNNMESR001,MECHANICAL LOCK AND KEYS ( CSD Collection Box and Bar ),15/09/2020
1799,CQM58A2,NNNMECI020,FLAT BELT (SCANNER),15/09/2020
1854,CQM5840,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),15/09/2020
1324,CQM67165,NNNMECI036,"FLAT BELT (Yellow, Bend)",14/09/2020
1875,CQM5885,CBXMEPC005,BLACK INK ROLLER,14/09/2020
2126,CQM4C28,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),14/09/2020
1123,CQM5815,CSDMEPC094,PRESSURE ROLLER (CSD2002E),14/09/2020
1698,CQM67220,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",14/09/2020
793,CQM67023,NNNELEO016,PHOTOTRANSISTOR OP505A -- RX,14/09/2020
550,CQM4C9A,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",11/09/2020
834,CQM58C9,NNNMECI020,FLAT BELT (SCANNER),11/09/2020
1928,CQM587B,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),11/09/2020
834,CQM58C9,NNNMECI036,"FLAT BELT (Yellow, Bend)",11/09/2020
1927,CQM587A,CBXMEPC005,BLACK INK ROLLER,11/09/2020
1875,CQM5885,CSDMEPC094,PRESSURE ROLLER (CSD2002E),11/09/2020
542,CQM5807,NNNAAEM068,SOLENOID ASSY   -  Sorter / Collection Bin,11/09/2020
834,CQM58C9,NNNMECI054,TOOTHED BELT T3/351L6,11/09/2020
1322,CQM67164,NNNMEZZ090,INK RIBBON CARTRIDGE,11/09/2020
834,CQM58C9,NNNMECI044,TOOTHED BELT T2.5 380H6,11/09/2020
1928,CQM587B,CBXMEPC005,BLACK INK ROLLER,11/09/2020
1927,CQM587A,NNNMECI044,TOOTHED BELT T2.5 380H6,11/09/2020
1928,CQM587B,NNNMECI054,TOOTHED BELT T3/351L6,11/09/2020
1927,CQM587A,NNNMECI054,TOOTHED BELT T3/351L6,11/09/2020
2144,CQM4C97,NNNMESR012,CSD2002E / GQM  MECHANICAL LOCK ( UPPER DOOR Lock ),11/09/2020
1928,CQM587B,NNNMEGU021,O-RING ( collection path ),11/09/2020
1321,CQM67231,NNNAAEM068,SOLENOID ASSY   -  Sorter / Collection Bin,11/09/2020
834,CQM58C9,CSDMEPC130/B,ROLLER  RECOATION  (downside of bend),11/09/2020
1927,CQM587A,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),11/09/2020
1927,CQM587A,NNNMEGU021,O-RING ( collection path ),11/09/2020
1928,CQM587B,NNNMECI036,"FLAT BELT (Yellow, Bend)",11/09/2020
558,CQM4C4D,MRG445106,ROLLER ( Card Reader ),11/09/2020
1927,CQM587A,NNNMECI036,"FLAT BELT (Yellow, Bend)",11/09/2020
1313,CQM67811,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",11/09/2020
2100,CQM4C8B,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),11/09/2020
1928,CQM587B,NNNMECI044,TOOTHED BELT T2.5 380H6,11/09/2020
1317,CQM67158,CBXMEPC005,BLACK INK ROLLER,11/09/2020
1277,CQM67129,NNNMEZZ090,INK RIBBON CARTRIDGE,10/09/2020
1011,CQM67076,CBXMEPC005,BLACK INK ROLLER,10/09/2020
541,CQM4C0F,NNNMECI020,FLAT BELT (SCANNER),10/09/2020
1141,CQM67110,CBXMEPC005,BLACK INK ROLLER,10/09/2020
1931,CQM5878,CSDMEPC094,PRESSURE ROLLER (CSD2002E),10/09/2020
1856,CQM5882,NNNMESR012,CSD2002E / GQM  MECHANICAL LOCK ( UPPER DOOR Lock ),10/09/2020
1114,CQM67104,CSDAAEM073,DC GEAR BOX MOTOR ASSY,10/09/2020
1911,CQM588D,NNNAAEL099,SENSOR  P.C.B. - ( FD ),10/09/2020
1821,CQM5823,CSDAAEM115     ( old code : CSDAAEM126 ),WHITE CIS MODULE,10/09/2020
541,CQM4C0F,NNNMECI054,TOOTHED BELT T3/351L6,10/09/2020
1114,CQM67104,CSDMEAQ021/R  ( old code : CSDMEPC059 ),PLATE  ( Ribbon Plate ),10/09/2020
541,CQM4C0F,NNNMEGU021,O-RING ( collection path ),10/09/2020
285,CQM4C1E,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",10/09/2020
1288,CQM67140,CSDMEPC048,COLLECTION BOX WIRING,10/09/2020
541,CQM4C0F,NNNMEGU022,O-RING (FEEDER - Fat),10/09/2020
1834,CQM5853,CSDMEPC094,PRESSURE ROLLER (CSD2002E),10/09/2020
1911,CQM588D,NNNAAEL098,SENSOR P.C.B. - ( FT ),10/09/2020
1015,CQM4C45,CSDMEPC048,COLLECTION BOX WIRING,10/09/2020
445,CQM4C1F,NNNMECI036,"FLAT BELT (Yellow, Bend)",10/09/2020
1141,CQM67110,NNNMEZZ090,INK RIBBON CARTRIDGE,10/09/2020
1793,CQM58A8,NNNMECI044,TOOTHED BELT T2.5 380H6,09/09/2020
1314,CQM67801,NNNMECI054,TOOTHED BELT T3/351L6,09/09/2020
1793,CQM58A8,NNNMECI015,TOOTHED BELT T2.5 177.5L6,09/09/2020
1145,CQM58FD,NNNMECI054,TOOTHED BELT T3/351L6,09/09/2020
2139,CQM4C57,NNNMECI020,FLAT BELT (SCANNER),09/09/2020
1919,CQM580E,CSDMEPC075,CIS MODULE ROLLER (CSD2002E),09/09/2020
1328,CQM5806,CSDMEPC130/B,ROLLER  RECOATION  (downside of bend),09/09/2020
1793,CQM58A8,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),09/09/2020
1267,CQM5846,NNNMECI044,TOOTHED BELT T2.5 380H6,09/09/2020
1123,CQM5815,NNNMECI054,TOOTHED BELT T3/351L6,09/09/2020
1328,CQM5806,CBXMEPC005,BLACK INK ROLLER,09/09/2020
543,CQM4C41,NNNMECI054,TOOTHED BELT T3/351L6,09/09/2020
1793,CQM58A8,CBXMEPC005,BLACK INK ROLLER,09/09/2020
1267,CQM5846,CBXMEPC005,BLACK INK ROLLER,09/09/2020
1188,CQM5817,CSDMEPC094,PRESSURE ROLLER (CSD2002E),09/09/2020
1145,CQM58FD,NNNMECI044,TOOTHED BELT T2.5 380H6,09/09/2020
1145,CQM58FD,NNNMEGU021,O-RING ( collection path ),09/09/2020
1793,CQM58A8,NNNMECI036,"FLAT BELT (Yellow, Bend)",09/09/2020
1124,CQM5816,NNNMECI054,TOOTHED BELT T3/351L6,09/09/2020
497,CQM58FE,NNNMEGU021,O-RING ( collection path ),09/09/2020
1145,CQM58FD,CBXMEPC005,BLACK INK ROLLER,09/09/2020
1700,CQM4C7E,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),09/09/2020
532,CQM5848,NNNMEGU022,O-RING (FEEDER - Fat),09/09/2020
1267,CQM5846,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),09/09/2020
1267,CQM5846,NNNMECI020,FLAT BELT (SCANNER),09/09/2020
2139,CQM4C57,NNNMEGU021,O-RING ( collection path ),09/09/2020
1793,CQM58A8,NNNMEGU022,O-RING (FEEDER - Fat),09/09/2020
1145,CQM58FD,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),09/09/2020
1793,CQM58A8,NNNMEGU021,O-RING ( collection path ),09/09/2020
461,CQM67193,NNNMECI036,"FLAT BELT (Yellow, Bend)",09/09/2020
497,CQM58FE,NNNMECI013,TOOTHED BELT T2.5 160L6,09/09/2020
2139,CQM4C57,NNNEMZZ083,HYBRID CARD READER-MOTORISED,09/09/2020
1267,CQM5846,NNNMECI013,TOOTHED BELT T2.5 160L6,09/09/2020
1793,CQM58A8,NNNMECI046,"FLAT BELT (beach colour, Collection Path)",09/09/2020
1328,CQM5806,NNNMECI013,TOOTHED BELT T2.5 160L6,09/09/2020
1145,CQM58FD,NNNMECI013,TOOTHED BELT T2.5 160L6,09/09/2020
1793,CQM58A8,NNNMECI004,TOOTHED BELT T2.5 145L6,09/09/2020
1793,CQM58A8,NNNMECI054,TOOTHED BELT T3/351L6,09/09/2020
461,CQM67193,CSDMEPC130/B,ROLLER  RECOATION  (downside of bend),09/09/2020
1145,CQM58FD,NNNMECI008,TOOTHED BELT T2.5 285L6,09/09/2020
1328,CQM5806,NNNMECI008,TOOTHED BELT T2.5 285L6,09/09/2020
1267,CQM5846,NNNMEGU021,O-RING ( collection path ),09/09/2020
1188,CQM5817,CSDMEPC075,CIS MODULE ROLLER (CSD2002E),09/09/2020
497,CQM58FE,NNNMECI008,TOOTHED BELT T2.5 285L6,09/09/2020
1793,CQM58A8,NNNMECI008,TOOTHED BELT T2.5 285L6,09/09/2020
1328,CQM5806,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),09/09/2020
2139,CQM4C57,NNNMECI046,"FLAT BELT (beach colour, Collection Path)",09/09/2020
1267,CQM5846,NNNMECI008,TOOTHED BELT T2.5 285L6,09/09/2020
1188,CQM5817,NNNMECI054,TOOTHED BELT T3/351L6,08/09/2020
647,CQM5814,NNNMECI044,TOOTHED BELT T2.5 380H6,08/09/2020
1097,CQM67087,NNNMECI036,"FLAT BELT (Yellow, Bend)",08/09/2020
1123,CQM5815,NNNMECI044,TOOTHED BELT T2.5 380H6,08/09/2020
1097,CQM67087,CSDMEPC130/B,ROLLER  RECOATION  (downside of bend),08/09/2020
1188,CQM5817,NNNMECI044,TOOTHED BELT T2.5 380H6,08/09/2020
522,CQM4C96,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",08/09/2020
1123,CQM5815,CBXMEPC005,BLACK INK ROLLER,08/09/2020
647,CQM5814,NNNMECI054,TOOTHED BELT T3/351L6,08/09/2020
530,CQM5839,NNNMECI036,"FLAT BELT (Yellow, Bend)",08/09/2020
647,CQM5814,NNNMECI036,"FLAT BELT (Yellow, Bend)",08/09/2020
1123,CQM5815,NNNMEGU021,O-RING ( collection path ),08/09/2020
647,CQM5814,NNNMEGU021,O-RING ( collection path ),08/09/2020
1124,CQM5816,NNNMECI044,TOOTHED BELT T2.5 380H6,08/09/2020
647,CQM5814,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),08/09/2020
1123,CQM5815,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),08/09/2020
1123,CQM5816,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),08/09/2020
530,CQM5839,CSDMEPC130/B,ROLLER  RECOATION  (downside of bend),08/09/2020
1124,CQM5816,CSDAAME339,PREFEED ROLLER ASSY (CSD2002E),08/09/2020
522,CQM4C96,NNNMEGU021,O-RING ( collection path ),08/09/2020
2213,CQM67074,CBXMEPC005,BLACK INK ROLLER,08/09/2020
2161,CQM4C54,NNNMECI020,FLAT BELT (SCANNER),08/09/2020
647,CQM5814,NNNMEMO053,TENSION SPRING (Feeder Pressure Plate),08/09/2020
1124,CQM5816,NNNMEGU021,O-RING ( collection path ),08/09/2020
1006,CQM67075,NNNMECI036,"FLAT BELT (Yellow, Bend)",08/09/2020
2122,CQM67217,NNNMECI036,"FLAT BELT (Yellow, Bend)",08/09/2020
647,CQM5814,CBXMEPC005,BLACK INK ROLLER,08/09/2020
2114,CQM67020,CBXMEPC005,BLACK INK ROLLER,08/09/2020
1124,CQM5816,CBXMEPC005,BLACK INK ROLLER,08/09/2020
1916,CQM588F,CSDMEPC048,COLLECTION BOX WIRING,07/09/2020
1799,CQM58A2,CBXMEPC005,BLACK INK ROLLER,07/09/2020
2129,CQM4C4A,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",07/09/2020
1141,CQM67110,NNNEMZZ083,HYBRID CARD READER-MOTORISED,07/09/2020
344,CQM5871,NNNMECI020,FLAT BELT (SCANNER),07/09/2020
344,CQM5871,NNNMECI036,"FLAT BELT (Yellow, Bend)",07/09/2020
1825,CQM58E0,CSDMEPC048,COLLECTION BOX WIRING,07/09/2020
1547,CQM67206,NNNMECI036,"FLAT BELT (Yellow, Bend)",07/09/2020
344,CQM5871,NNNMECI046,"FLAT BELT (beach colour, Collection Path)",07/09/2020
1802,CQM5864,NNNMECI046,"FLAT BELT (beach colour, Collection Path)",06/09/2020
399,CQM5812,CSDAACB002,BADGE READER WIRING,06/09/2020
1916,CQM588F,NNNMECI046,"FLAT BELT (beach colour, Collection Path)",06/09/2020
399,CQM5812,NNNEMZZ083,HYBRID CARD READER-MOTORISED,06/09/2020
1876,CQM5833,NNNMECI004,TOOTHED BELT T2.5 145L6,05/09/2020
1876,CQM5833,NNNMEGU021,O-RING ( collection path ),05/09/2020
1794,CQM5876,NNNMECI004,TOOTHED BELT T2.5 145L6,05/09/2020
1876,CQM5833,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",05/09/2020
1876,CQM5833,NNNMECI008,TOOTHED BELT T2.5 285L6,05/09/2020
1876,CQM5833,NNNMECI054,TOOTHED BELT T3/351L6,05/09/2020
1794,CQM5876,NNNMECI008,TOOTHED BELT T2.5 285L6,05/09/2020
1794,CQM5876,NNNMEGU021,O-RING ( collection path ),05/09/2020
1876,CQM5833,NNNMECI015,TOOTHED BELT T2.5 177.5L6,05/09/2020
1876,CQM5833,CBXMEPC005,BLACK INK ROLLER,05/09/2020
1803,CQM5867,NNNEMZZ083,HYBRID CARD READER-MOTORISED,05/09/2020
1876,CQM5833,NNNMECI044,TOOTHED BELT T2.5 380H6,05/09/2020
2054,CQM5873,CSDMEPC075,CIS MODULE ROLLER (CSD2002E),05/09/2020
1876,CQM5833,NNNMECI046,"FLAT BELT (beach colour, Collection Path)",05/09/2020
1794,CQM5876,CBXMEPC005,BLACK INK ROLLER,05/09/2020
1794,CQM5876,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),05/09/2020
1794,CQM5876,NNNMECI020,FLAT BELT (SCANNER),05/09/2020
1794,CQM5876,NNNMECI015,TOOTHED BELT T2.5 177.5L6,05/09/2020
1876,CQM5833,NNNMECI036,"FLAT BELT (Yellow, Bend)",05/09/2020
1794,CQM5876,NNNMECI036,"FLAT BELT (Yellow, Bend)",05/09/2020
1794,CQM5876,NNNMECI054,TOOTHED BELT T3/351L6,05/09/2020
1794,CQM5876,NNNMECI044,TOOTHED BELT T2.5 380H6,05/09/2020
1876,CQM5833,NNNMEGU022,O-RING (FEEDER - Fat),05/09/2020
1838,CQM58EE,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),05/09/2020
1876,CQM5833,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),05/09/2020
1435,CQM4C87,NNNMEGU021,O-RING ( collection path ),05/09/2020
1876,CQM5833,NNNMECI020,FLAT BELT (SCANNER),05/09/2020
1790,CQM5894,NNNMECI004,TOOTHED BELT T2.5 145L6,04/09/2020
2069,CQM67247,NNNAAEL083,SENSOR  ASSY,04/09/2020
1796,CQM5893,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),04/09/2020
1790,CQM5894,NNNMECI036,"FLAT BELT (Yellow, Bend)",04/09/2020
1790,CQM5894,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),04/09/2020
781,CQM58A3,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),04/09/2020
504,CQM58D6,CSDAACB002,BADGE READER WIRING,04/09/2020
1446,CQM4C2B,NNNMECI044,TOOTHED BELT T2.5 380H6,04/09/2020
781,CQM58A3,CBXMEPC005,BLACK INK ROLLER,04/09/2020
2058,CQM589E,CSDMEPC094,PRESSURE ROLLER (CSD2002E),04/09/2020
2044,CQM67244,NNNMECI036,"FLAT BELT (Yellow, Bend)",04/09/2020
1790,CQM5894,NNNMECI044,TOOTHED BELT T2.5 380H6,04/09/2020
781,CQM58A3,NNNMEGU021,O-RING ( collection path ),04/09/2020
1790,CQM5894,CBXMEPC005,BLACK INK ROLLER,04/09/2020
1796,CQM5893,NNNMECI044,TOOTHED BELT T2.5 380H6,04/09/2020
1796,CQM5893,NNNMECI004,TOOTHED BELT T2.5 145L6,04/09/2020
1796,CQM5893,NNNMECI036,"FLAT BELT (Yellow, Bend)",04/09/2020
2159,CQM4C29,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),04/09/2020
2187,CQM4C3F,NNNMEGU021,O-RING ( collection path ),04/09/2020
1796,CQM5893,NNNMECI015,TOOTHED BELT T2.5 177.5L6,04/09/2020
781,CQM58A3,NNNMECI044,TOOTHED BELT T2.5 380H6,04/09/2020
1790,CQM5894,NNNMECI015,TOOTHED BELT T2.5 177.5L6,04/09/2020
1446,CQM4C2B,NNNMECI020,FLAT BELT (SCANNER),04/09/2020
781,CQM58A3,NNNMEGU022,O-RING (FEEDER - Fat),04/09/2020
1796,CQM5893,NNNMECI008,TOOTHED BELT T2.5 285L6,04/09/2020
781,CQM58A3,NNNMECI036,"FLAT BELT (Yellow, Bend)",04/09/2020
781,CQM58A3,NNNMECI020,FLAT BELT (SCANNER),04/09/2020
540,CQM4C19,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),04/09/2020
1790,CQM5894,NNNMECI008,TOOTHED BELT T2.5 285L6,04/09/2020
781,CQM58A3,NNNMECI008,TOOTHED BELT T2.5 285L6,04/09/2020
1837,CQM5896,PMRU - 036,VKP80II EJECTION BLACK RUBBER ROLLER,04/09/2020
504,CQM58D6,NNNEMZZ083,HYBRID CARD READER-MOTORISED,04/09/2020
1796,CQM5893,NNNMECI054,TOOTHED BELT T3/351L6,04/09/2020
1790,CQM5894,NNNMEGU021,O-RING ( collection path ),04/09/2020
1796,CQM5893,CBXMEPC005,BLACK INK ROLLER,04/09/2020
1798,CQM5893,NNNMEGU021,O-RING ( collection path ),04/09/2020
781,CQM58A3,NNNMECI013,TOOTHED BELT T2.5 160L6,04/09/2020
781,CQM58A3,NNNMECI054,TOOTHED BELT T3/351L6,04/09/2020
1446,CQM4C2B,CSDAAME344,FEED ROLLER ASSY (CSD2002E),04/09/2020
1853,CQM58BD,NNNMECI044,TOOTHED BELT T2.5 380H6,03/09/2020
1442,CQM5800,NNNMECI036,"FLAT BELT (Yellow, Bend)",03/09/2020
1848,CQM584F,NNNMECI004,TOOTHED BELT T2.5 145L6,03/09/2020
1853,CQM58BD,CBXMEPC005,BLACK INK ROLLER,03/09/2020
1848,CQM584F,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),03/09/2020
1849,CQM5855,NNNMECI015,TOOTHED BELT T2.5 177.5L6,03/09/2020
1848,CQM584F,NNNMECI015,TOOTHED BELT T2.5 177.5L6,03/09/2020
1853,CQM58BD,NNNMECI015,TOOTHED BELT T2.5 177.5L6,03/09/2020
1853,CQM58BD,NNNMECI036,"FLAT BELT (Yellow, Bend)",03/09/2020
1922,CQM581C,NNNMECI015,TOOTHED BELT T2.5 177.5L6,03/09/2020
1848,CQM584F,NNNMECI044,TOOTHED BELT T2.5 380H6,03/09/2020
1922,CQM581C,NNNMECI044,TOOTHED BELT T2.5 380H6,03/09/2020
260,CQM588B,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",03/09/2020
1224,CQM4C78,TTT80,VKP80II THERMIC HEAD,03/09/2020
1442,CQM5800,NNNMECI044,TOOTHED BELT T2.5 380H6,03/09/2020
2101,CQM4C53,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),03/09/2020
1849,CQM5855,NNNMECI044,TOOTHED BELT T2.5 380H6,03/09/2020
1853,CQM58BD,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),03/09/2020
1853,CQM58BD,NNNMEGU021,O-RING ( collection path ),03/09/2020
1922,CQM581C,NNNMEGU021,O-RING ( collection path ),03/09/2020
1922,CQM581C,NNNMECI036,"FLAT BELT (Yellow, Bend)",03/09/2020
1848,CQM584F,CBXMEPC005,BLACK INK ROLLER,03/09/2020
1849,CQM5855,NNNMEGU021,O-RING ( collection path ),03/09/2020
1822,CQM5883,CSDMEPC075,CIS MODULE ROLLER (CSD2002E),03/09/2020
1145,CQM58FD,CSDMEPC048,COLLECTION BOX WIRING,03/09/2020
1848,CQM584F,NNNMEGU021,O-RING ( collection path ),03/09/2020
1849,CQM5855,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),03/09/2020
1853,CQM58BD,NNNMECI008,TOOTHED BELT T2.5 285L6,03/09/2020
1922,CQM581C,NNNMECI008,TOOTHED BELT T2.5 285L6,03/09/2020
