Last Replaced,CQM
07/11/2011,HASE DPM1002/00555 CQM4C5B
07/11/2011,HSBC DPM1002/00268 CQM5886
08/11/2011,BOC DPM1002/00792 CDM67022
16/11/2011,HASE DPM1002/00311 CQM589A
01/12/2011,HASE DPM1002/00560 CQM4C1A
03/12/2011,HASE DPM1002/00529 CQM4C9F
02/12/2011,HSBC DPM1002/00312 CQM589F
07/12/2011,HASE DPM1002/00551 CQM4C20
05/12/2011,HASE DPM1002/01127 CQM4C67
09/12/2011,HSBC DPM1002/00500 CQM58D4
13/12/2011,BOC DPM1002/01094 CDM67082
15/12/2011,HASE DPM1002/00283 CQM4C03
23/12/2011,HT Consoulting
25/12/2012,HSBC DPM1002/00252 CQM5876
31/01/2012,HASE DPM1002/01129 CQM4C59
01/02/2012,HASE DPM1002/00539 CQM4C7C
03/02/2012,HASE DPM1002/01190 CQM4C65
03/02/2012,HASE DPM1002/00525 CQM4C29
06/02/2012,HASE DPM1002/00537 CQM4C26
08/02/2012,HSBC DPM1002/00227 CQM586B
08/02/2012,HSBC DPM1002/00452 CQM58B2
08/02/2012,HSBC DPM1002/00128 CQM5859
11/02/2012,HSBC DPM1002/00395 CQM587E
14/02/2012,HSBC DPM1002/01147 CQM584A
14/02/2012,HSBC DPM1002/00269 CQM5887
15/02/2012,HSBC DPM1002/00502 CQM58D3
15/02/2012,HSBC DPM1002/00137 CQM585B
15/02/2012,HSBC DPM1002/00270 CQM5888
15/02/2012,HSBC DPM1002/00843 CQM5843
16/02/2012,HASE DPM1002/00296 CQM4C1C
27/02/2012,HASE DPM1002/00266 CQM5861
09/03/2012,Rototype
13/03/2012,HSBC DPM1002/00306 CQM5840
13/03/2012,HSBC DPM1002/00372 CQM58B7
22/03/2012,HT Consulting (Asia) Sdn Bhd
16/04/2012,HSBC DPM1002/00307 CQM5891
13/04/2012,HSBC DPM1002/00253 CQM5879
03/05/2012,HSBC DPM1002/00308 CQM588D
18/05/2012,HSBC DPM1002/01014 CQM5803
31/05/2012,HASE DPM1002/00527 CQM4C7A
31/05/2012,HSBC DPM1002/00226 CQM586A
13/06/2012,HASE DPM1002/00593 CQM4C17
05/07/2012,HASE DPM1002/00278 CQM4C0D
06/07/2012,HSBC DPM1002/00128 CQM5859
17/07/2012,HSBC DPM1002/00265 CQM588A
20/07/2012,HASE DPM1002/00554 CQM4C6B
20/07/2012,HSBC DPM1002/00348 CQM58B8
20/07/2012,BOC DPM1002/00990 CDM67058
30/07/2012,HSBC DPM1002/00370 CQM58BA
21/08/2012,HSBC DPM1002/00366 CQM58B9
18/09/2012,BOC DPM1002/01007 CDM67073
19/09/2012,BOC DPM1002/01099 CDM67084
12/10/2012,HSBC DPM1002/00255 CQM5875
13/10/2012,HASE DPM1002/00277 CQM4C43
17/10/2012,HSBC DPM1002/00260 CQM586F
13/10/2012,HSBC DPM1002/00509 CQM58D6
26/10/2012,HASE DPM1002/00553 CQM4C7D
30/10/2012,HSBC DPM1002/00374 CQM58BD
01/11/2012,BOC DPM1002/00993 CQM67061
01/11/2012,HASe DPM1002/01185 CQM4C61
03/11/2012,HSBC DPM1002/00418 CQM4C4E
05/11/2012,BOC DPM1002/00856 CDM67032
09/11/2012,HASE DPM1002/00543 CQM4C41
13/11/2012,HSBC DPM1002/00345 CQM587C
17/11/2012,HSBC DPM1002/00534 CQM58B4
19/11/2012,HASE DPM1002/01126 CQM4C66
26/11/2012,HSBC DPM1002/00363 CQM58B6
29/11/2012,HSBC DPM1002/00691 CQM58AE
30/11/2012,BOC DPM1002/01277 GQM67129
19/12/2012,BOC DPM1002/01464 CDM67081
21/12/2012,HSBC DPM1002/00317 CQM588F
24/12/2012,HASE DPM1002/00692 CQM4C23
24/12/2012,BOC DPM1002/00626 CDM67208
24/12/2012,BOC DPM1002/01104 CDM67085
29/12/2012,HSBC DPM1002/00841 CQM5845
31/12/2012,BOC DPM1002/00952 CDM67053
31/12/2012,BOC DPM1002/01001 CDM67065
31/12/2012,HASE DPM1002/00303 CQM4C2E
31/12/2012,HSBC DPM1002/00533 CQM58E3
31/12/2012,HASE DPM1002/01020 CQM4C50
03/01/2013,HSBC DPM1002/00127 CQM5858
18/01/2013,HASE DPM1002/00646 CQM4C32
18/01/2013,HASE DPM1002/01088 CQM4C04
24/01/2013,HASE DPM1002/00215 CQM4C00
28/01/2013,Rototype
02/02/2013,BOC DPM1002/01462 CDM67177
06/02/2013,BOC DPM1002/01008 CDM67077
09/02/2013,BOC DPM1002/01010 CDM67178
28/02/2013,Rototype
26/03/2013,Rototype
09/04/2013,HSBC DPM1002/00314 CQM58A4
10/04/2013,HSBC DPM1002/00227 CQM586B
13/04/2013,HSBC DPM1002/00250 CQM5857
17/04/2013,BOC DPM1002/00859 CDM67035
03/05/2013,HSBC DPM1002/00261 CQM5870
13/05/2013,HSBC DPM1002/00265 CQM588A
26/05/2013,HSBC DPM1002/00360 CQM5896
18/07/2013,HSBC DPM1002/00271 CQM5883
19/07/2013,HSBC DPM1002/00135 CQM585F
31/07/2013,HSBC DPM1002/00258 CQM586D
16/08/2013,BOC DPM1002/01246 CDM67117
22/08/2013,HSBC DPM1002/00400 CQM58A6
23/08/2013,HSBC DPM1002/00259 CQM5880
26/08/2013,HASE DPM1002/00298 CQM4C39
02/09/2013,HASE DPM1002/00414 CQM4C13
13/09/2013,HASE DPM1002/00292 CQM4C38
18/09/2013,BOC DPM1002/00790 CDM67019
27/09/2013,BOC DPM1002/00998 CDM67069
11/10/2013,HSBC DPM1002/00257 CQM5892
14/10/2013,HSBC DPM1002/00286 CQM58D4
24/10/2013,HSBC DPM1002/00536 CQM4C30
20/10/2013,HSBC DPM1002/00299 CQM5819
28/10/2013,BOC DPM1002/00796 CDM67024
01/11/2013,HASE DPM1002/01015 CQM4C07
29/10/2013,HSBC DPM1002/00955 CQM58CD
04/11/2013,BOC DPM1002/00996 CDM67067
13/11/2013,HSBC DPM1002/00835 CQM58CB
16/11/2013,BOC DPM1002/00999 CDM67063
11/11/2013,HSBC DPM1002/00249 CQM5856
15/11/2013,HASE DPM1002/00592 CQM4C6D
19/11/2013,HSBC DPM1002/00313 CQM5897
18/11/2013,HSBC DPM1002/00452 CQM58B2
25/11/2013,HSBC DPM1002/00498 CQM58C5
27/11/2013,HSBC DPM1002/00223 CQM5865
25/11/2013,BOC DPM1002/01101 CDM67092
29/11/2013,HASE DPM1002/00415 CDM4C4B
26/11/2013,HASE DPM1002/00539 CQM4C7C
28/11/2013,HSBC DPM1002/00838 CQM5884
02/12/2013,BOC DPM1002/00846 CDM67026
04/12/2013,HASE DPM1002/00558 CQM4C18
03/12/2013,BOC DPM1002/00793 CDM67023
05/12/2013,HASE DPM1002/00556 CQM4C6C
06/12/2013,HASE DPM1002/00300 CQM4C3D
09/12/2013,HSBC DPM1002/00269 CQM58B5
12/12/2013,HASE DPM1002/00520 CQM4C14
12/12/2013,HSBC DPM1002/00315 CQM5890
12/12/2013,NCB DPM1002/01313 CDM67811
10/12/2013,HSBC DPM1002/00647 CQM5814
16/12/2013,BOC DPM1002/01513 CQM67203
18/12/2013,BOC DPM1002/00627 CDM67013
18/12/2013,HSBC DPM1002/00224 CQM5866
16/12/2013,HSBC DPM1002/00543 CQM4C41
18/12/2013,BOC DPM1002/01006 CQM67075
16/12/2013,HASE DPM1002/01023 CQM4C51
19/12/2013,HASE DPM1002/0016 CQM4C9B
18/12/2013,BOC DPM1002/01142 CDM67111
18/12/2013,HASE DPM1002/00506 CQM4C44
21/12/2013,NCB DPM1002/01297 CDM67805
19/12/2013,HASE DPM1002/00524 CQM4C3B
20/12/2013,HSBC DPM1002/00373 CQM58FC
20/12/2013,BOC DPM1002/00850 CDM67030
22/12/2013,HSBC DPM1002/01121 CQM5801
24/12/2013,HSBC DPM1002/00401 CQM58A9
27/12/2013,HSBC DPM1002/00837 CQM58CC
27/12/2013,HASE DPM1002/00287 CQM4C35
28/12/2013,HSBC DPM1002/00832 CQM58CA
30/12/2013,BOC DPM1002/00630 CDM67014
30/12/2013,BOC DPM1002/00623 CDM67181
30/12/2013,BOC DPM1002/01457 CDM67189
11/01/2014,BOC DPM1002/00221 CQM58AA
16/01/2014,HASE DPM1002/01185 CQM4C61
16/01/2014,HASE DPM1002/01225 CQM4C28
14/01/2014,BOC DPM1002/01288 CDM67140
22/01/2014,BOC DPM1002/00858 CDM67034
21/01/2014,HSBC DPM1002/00306 CQM5840
23/01/2014,HSBC DPM1002/00453 CQM58C8
29/01/2014,HSBC DPM1002/00508 CQM58D0
04/02/2014,HSBC DPM1002/00690 CQM58AD
04/02/2014,HSBC DPM1002/00266 CQM5861
06/02/2014,HSBC DPM1002/00532 CQM58E2
11/02/2014,HASE DPM1002/00560 CQM4C1A
12/02/2014,BOC DPM1002/01250 CQM67121
11/02/2014,NCB DPM1002/01313 CDM67811
14/02/2014,HASE DPM1002/00419 CQM4C4D
14/02/2014,HSBC DPM1002/01149 CQM5839
15/02/2014,HSBC DPM1002/00507 CQM58DE
11/02/2014,HSBC DPM1002/00361 CQM58BB
11/02/2014,HASE DPM1002/01130 CQM4C60
21/02/2014,HASE DPM1002/00412 CQM4C09
10/03/2014,Rototype
08/07/2014,HASE DPM1002/00414 CQM4C13
14/03/2014,HSBC DPM1002/00500 CQM58E6
21/03/2014,HASE DPM1002/00557 CQM4C71
03/04/2014,HSBC DPM1002/00397 CQM58A2
08/04/2014,HSBC DPM1002/00496 CQM58D8
08/05/2014,HSBC DPM1002/00501 CQM58C7
27/05/2014,BOC DPM1002/01009 CDM67195
28/05/2014,HSBC DPM1002/00257 CQM5892
16/06/2014,HSBC DPM1002/00342 CQM5899
14/06/2014,HSBC DPM1002/00395 CQM587E
09/07/2014,HSBC DPM1002/00341 CQM589D
11/07/2014,HSBC DPM1002/01328 CQM5886
16/07/2014,HSBC DPM1002/00402 CQM58A7
19/07/2014,HSBC DPM1002/00367 CQM58D2
02/08/2014,HSBC DPM1002/00372 CQM58B7
03/08/2014,HSBC DPM1002/00252 CQM589C
09/08/2014,HASE DPM1002/01191 CQM4C70
19/08/2014,HSBC DPM1002/00269 CQM58B5
28/08/2014,BOC DPM1002/01005 CQM67074
02/09/2014,BOC DPM1002/01416 CDM67173
03/09/2014,HSBC DPM1002/00316 CQM5855
05/09/2014,BOC DPM1002/01280 CDM67132
05/09/2014,HSBC DPM1002/01432 CQM58BE
22/09/2014,HSBC DPM1002/00364 CQM58B3
24/09/2014,HSBC DPM1002/01327 CQM58EA
24/09/2014,HASE DPM1002/00593 CQM4C17
27/09/2014,BOC DPM1002/00953 CQM67055
29/09/2014,BOC DPM1002/00900 CDM67046
03/10/2014,HASE DPM1002/00449 CQM4C6B
10/10/2014,BOC DPM1002/00624 CDM67007
08/10/2014,HASE DPM1002/01024 CQM4C54
14/10/2014,HSBC DPM1002/00318 CQM5883
16/10/2014,BOC DPM1002/01464 CQM67081
